state,week,diff
south dakota,Week 51,0.0
south dakota,Week 52,1.0
tennessee,Week 1,4.0
tennessee,Week 2,6.0
tennessee,Week 3,5.0
tennessee,Week 4,7.0
tennessee,Week 5,8.0
tennessee,Week 6,8.0
tennessee,Week 7,4.0
tennessee,Week 41,0.0
tennessee,Week 42,0.0
tennessee,Week 43,0.0
tennessee,Week 44,0.0
tennessee,Week 45,0.0
tennessee,Week 46,0.0
tennessee,Week 47,3.0
tennessee,Week 48,0.0
tennessee,Week 49,1.0
tennessee,Week 50,0.0
tennessee,Week 51,2.0
tennessee,Week 52,4.0
texas,Week 1,-3.0
texas,Week 2,1.0
texas,Week 3,2.0
texas,Week 4,3.0
texas,Week 5,5.0
texas,Week 6,3.0
texas,Week 7,2.0
texas,Week 41,0.0
texas,Week 42,0.0
texas,Week 43,0.0
texas,Week 44,0.0
texas,Week 45,-1.0
texas,Week 46,-1.0
texas,Week 47,-2.0
texas,Week 48,-2.0
texas,Week 49,-2.0
texas,Week 50,-3.0
texas,Week 51,-4.0
texas,Week 52,-5.0
utah,Week 1,5.0
utah,Week 2,3.0
utah,Week 3,3.0
utah,Week 4,-1.0
utah,Week 5,-2.0
utah,Week 6,-3.0
utah,Week 7,-6.0
utah,Week 41,0.0
utah,Week 42,0.0
utah,Week 43,0.0
utah,Week 44,-1.0
utah,Week 45,-1.0
utah,Week 46,-1.0
utah,Week 47,-2.0
utah,Week 48,0.0
utah,Week 49,0.0
utah,Week 50,0.0
utah,Week 51,4.0
utah,Week 52,5.0
vermont,Week 1,0.0
vermont,Week 2,0.0
vermont,Week 3,0.0
vermont,Week 4,0.0
vermont,Week 5,0.0
vermont,Week 6,0.0
vermont,Week 7,-1.0
vermont,Week 41,0.0
vermont,Week 42,0.0
vermont,Week 43,0.0
vermont,Week 44,0.0
vermont,Week 45,0.0
vermont,Week 46,0.0
vermont,Week 47,0.0
vermont,Week 48,0.0
vermont,Week 49,0.0
vermont,Week 50,0.0
vermont,Week 51,0.0
vermont,Week 52,0.0
virginia,Week 1,2.0
virginia,Week 2,3.0
virginia,Week 3,2.0
virginia,Week 4,4.0
virginia,Week 5,5.0
virginia,Week 6,7.0
virginia,Week 7,6.0
virginia,Week 41,0.0
virginia,Week 42,-1.0
virginia,Week 43,0.0
virginia,Week 44,1.0
virginia,Week 45,1.0
virginia,Week 46,0.0
virginia,Week 47,0.0
virginia,Week 48,0.0
virginia,Week 49,-1.0
virginia,Week 50,0.0
virginia,Week 51,-1.0
virginia,Week 52,2.0
washington,Week 1,2.0
washington,Week 2,2.0
